Sampler,Model,Accuracy,Precision,Recall,F1-Score,AUC
Baseline,Logistic Regression (Default),0.8866666666666667,0.918918918918919,0.8607594936708861,0.8888888888888888,0.9577464788732394
Baseline,Decision Tree (Default),0.86,0.9027777777777778,0.8227848101265823,0.8609271523178808,0.8620966304154037
Baseline,Random Forest (Default),0.88,0.9420289855072463,0.8227848101265823,0.8783783783783784,0.9512390800499199
Baseline,K-Nearest Neighbors (Default),0.8733333333333333,0.9054054054054054,0.8481012658227848,0.8758169934640523,0.9310928864325192
Baseline,Support Vector Machine (Default),0.9066666666666666,0.922077922077922,0.8987341772151899,0.9102564102564102,0.9490105188090568
Baseline,AdaBoost (Default),0.88,0.9295774647887324,0.8354430379746836,0.88,0.9582813335710465
Baseline,Gradient Boosting (Default),0.8866666666666667,0.9305555555555556,0.8481012658227848,0.8874172185430463,0.9593510429666607
Baseline,Stacking + Linear Regression,0.9,0.9210526315789473,0.8860759493670886,0.9032258064516129,0.9532893563915137
Baseline,Stacking + Default MLP,0.9,0.9210526315789473,0.8860759493670886,0.9032258064516129,0.9529327865929755
TPE,Logistic Regression,0.9,0.9210526315789473,0.8860759493670886,0.9032258064516129,0.9531110714922446
TPE,Decision Tree,0.8933333333333333,0.9090909090909091,0.8860759493670886,0.8974358974358975,0.9350151542164378
TPE,Random Forest,0.8933333333333333,0.8987341772151899,0.8987341772151899,0.8987341772151899,0.955428775182742
TPE,K-Nearest Neighbors,0.9133333333333333,0.9230769230769231,0.9113924050632911,0.9171974522292994,0.9507933678017472
TPE,Support Vector Machine,0.8533333333333334,0.9253731343283582,0.7848101265822784,0.8493150684931506,0.9605990372615439
TPE,AdaBoost,0.8933333333333333,0.92,0.8734177215189873,0.8961038961038961,0.9661258691388839
TPE,Gradient Boosting,0.9066666666666666,0.9452054794520548,0.8734177215189873,0.9078947368421053,0.9623818862542343
TPE,SEL-NNML,0.9266666666666666,0.9473684210526315,0.9113924050632911,0.9290322580645162,0.9586379033695845
GP,Logistic Regression,0.8933333333333333,0.92,0.8734177215189873,0.8961038961038961,0.9513282224995543
GP,Decision Tree,0.8933333333333333,0.9090909090909091,0.8860759493670886,0.8974358974358975,0.9353717240149759
GP,Random Forest,0.8866666666666667,0.9305555555555556,0.8481012658227848,0.8874172185430463,0.9540024959885898
GP,K-Nearest Neighbors,0.9133333333333333,0.9230769230769231,0.9113924050632911,0.9171974522292994,0.949545373506864
GP,Support Vector Machine,0.86,0.9264705882352942,0.7974683544303798,0.8571428571428571,0.9595293278659298
GP,AdaBoost,0.88,0.9295774647887324,0.8354430379746836,0.88,0.9646995899447317
GP,Gradient Boosting,0.9066666666666666,0.9333333333333333,0.8860759493670886,0.9090909090909091,0.9688001426279194
GP,SEL-NNML,0.92,0.935064935064935,0.9113924050632911,0.9230769230769231,0.96131217685862
CMA-ES,Logistic Regression,0.9,0.9210526315789473,0.8860759493670886,0.9032258064516129,0.9531110714922446
CMA-ES,Decision Tree,0.8933333333333333,0.9090909090909091,0.8860759493670886,0.8974358974358975,0.9350151542164378
CMA-ES,Random Forest,0.8866666666666667,0.8974358974358975,0.8860759493670886,0.89171974522293,0.955428775182742
CMA-ES,K-Nearest Neighbors,0.9133333333333333,0.9230769230769231,0.9113924050632911,0.9171974522292994,0.9506150829024781
CMA-ES,Support Vector Machine,0.84,0.9230769230769231,0.759493670886076,0.8333333333333334,0.9518630771973614
CMA-ES,AdaBoost,0.8933333333333333,0.9315068493150684,0.8607594936708861,0.8947368421052632,0.9645213050454626
CMA-ES,Gradient Boosting,0.9066666666666666,0.9452054794520548,0.8734177215189873,0.9078947368421053,0.9636298805491175
CMA-ES,SEL-NNML,0.9266666666666666,0.9358974358974359,0.9240506329113924,0.9299363057324841,0.9611338919593511
QMC,Logistic Regression,0.9,0.9210526315789473,0.8860759493670886,0.9032258064516129,0.9531110714922446
QMC,Decision Tree,0.8933333333333333,0.9090909090909091,0.8860759493670886,0.8974358974358975,0.9243180602602958
QMC,Random Forest,0.88,0.9066666666666666,0.8607594936708861,0.8831168831168831,0.9493670886075949
QMC,K-Nearest Neighbors,0.9133333333333333,0.9230769230769231,0.9113924050632911,0.9171974522292994,0.949545373506864
QMC,Support Vector Machine,0.86,0.9393939393939394,0.7848101265822784,0.8551724137931035,0.9602424674630059
QMC,AdaBoost,0.8933333333333333,0.8888888888888888,0.9113924050632911,0.9,0.9478516669638083
QMC,Gradient Boosting,0.8933333333333333,0.9565217391304348,0.8354430379746836,0.8918918918918919,0.9623818862542343
QMC,SEL-NNML,0.92,0.8850574712643678,0.9746835443037974,0.927710843373494,0.9616687466571582
