Feature,Importance Mean,Importance Std
ST_Slope_Up,0.08777777777777772,0.025824669992991458
ST_Slope_Flat,0.047777777777777745,0.011557692110174085
ExerciseAngina,0.03377777777777773,0.014497339049155638
ChestPainType_ASY,0.024222222222222197,0.013275801805550089
Sex,0.01777777777777775,0.01079551804576989
Cholesterol,0.0062222222222221586,0.0016629588385661794
MaxHR,0.005555555555555513,0.004245549594342829
Age,0.005555555555555513,0.004245549594342829
ChestPainType_ATA,0.0044444444444444176,0.005258737584977424
RestingECG_Normal,0.004444444444444399,0.0031426968052735123
RestingBP,0.003999999999999966,0.0040734006177385
Oldpeak,0.0037777777777777393,0.003303570832737412
ChestPainType_NAP,0.0024444444444444197,0.0032126293988446256
RestingECG_ST,0.0004444444444444399,0.0016629588385661794
FastingBS,0.0,0.0
ChestPainType_TA,0.0,0.0
RestingECG_LVH,0.0,0.0
ST_Slope_Down,0.0,0.0
