Model,Control Mean,Other Mean,Mean Difference,t-statistic,p-value,p-value (Bonferroni),Cohen's d,Significant (α=0.05)
Decision Tree (Default),0.8624576271186439,0.7685593220338982,0.09389830508474575,5.668669432886588,0.00030624154060821516,0.003674898487298582,1.7925906710154393,True
AdaBoost (Default),0.8624576271186439,0.8340395480225989,0.028418079096045178,3.2812412358914407,0.009510400454085912,0.11412480544903095,1.0376195857503925,False
SEL-NNML (QMC),0.8624576271186439,0.835819209039548,0.026638418079096025,2.1759858253329747,0.05754962918008891,0.6905955501610669,0.6881071364115771,False
Logistic Regression (Default),0.8624576271186439,0.8424011299435028,0.02005649717514122,2.086811677163499,0.06652643009076048,0.7983171610891258,0.6599077947455515,False
K-Nearest Neighbors (Default),0.8624576271186439,0.8325141242937854,0.029943502824858737,2.030301997859185,0.07289885465893876,0.8747862559072652,0.6420378651087667,False
Random Forest (Default),0.8624576271186439,0.8558474576271186,0.006610169491525419,0.6368505603256265,0.5400806932416471,1.0,0.20138982997220867,False
Support Vector Machine (Default),0.8624576271186439,0.8491242937853107,0.013333333333333308,1.118881399192373,0.29216324914138336,1.0,0.35382136529500874,False
Gradient Boosting (Default),0.8624576271186439,0.8557062146892654,0.006751412429378512,0.7413416214784982,0.4773836829583413,1.0,0.23443280480730547,False
Stacking + Linear Regression,0.8624576271186439,0.8507062146892655,0.011751412429378504,1.137008193944354,0.2849003958839864,1.0,0.3595535611028615,False
Stacking + Default MLP,0.8624576271186439,0.8507344632768362,0.011723163841807882,1.2462937011709438,0.2441189839062035,1.0,0.3941126729088948,False
SEL-NNML (GP),0.8624576271186439,0.8590960451977402,0.0033615819209039553,0.4281890061871379,0.6785780372010488,1.0,0.13540525285407445,False
SEL-NNML (CMA-ES),0.8624576271186439,0.8590960451977402,0.003361581920903933,0.42892391597547963,0.6780624902424037,1.0,0.13563765173464692,False
