Feature,Importance Mean,Importance Std
ST_Slope_Up,0.07488888888888884,0.015746447767161664
ST_Slope_Flat,0.04977777777777771,0.009226906440900746
ChestPainType_ASY,0.041333333333333284,0.012578641509408807
Cholesterol,0.036666666666666625,0.009388724521901152
Sex,0.03466666666666662,0.01052686158429067
ExerciseAngina,0.030222222222222168,0.013414567353588069
MaxHR,0.02688888888888884,0.009346551486583601
Age,0.02111111111111106,0.008791129086601103
Oldpeak,0.019111111111111058,0.013191841848582964
RestingBP,0.0175555555555555,0.009503735457930278
FastingBS,0.011999999999999948,0.005811865258054227
ChestPainType_NAP,0.008444444444444402,0.006651835354264764
ChestPainType_ATA,0.0073333333333332916,0.007953568963632559
RestingECG_ST,0.005111111111111078,0.004771313456351959
RestingECG_LVH,0.004222222222222191,0.004382907316292427
RestingECG_Normal,0.003999999999999959,0.0032659863237108704
ST_Slope_Down,0.0004444444444444288,0.003413842554608258
ChestPainType_TA,-0.0004444444444444473,0.001662958838566207
