Sampler,Model,FPR,TPR
Baseline,Logistic Regression (Default),0.0,0.0
Baseline,Logistic Regression (Default),0.0,0.041666666666666664
Baseline,Logistic Regression (Default),0.0,0.625
Baseline,Logistic Regression (Default),0.027777777777777776,0.625
Baseline,Logistic Regression (Default),0.027777777777777776,0.6666666666666666
Baseline,Logistic Regression (Default),0.05555555555555555,0.6666666666666666
Baseline,Logistic Regression (Default),0.05555555555555555,0.7916666666666666
Baseline,Logistic Regression (Default),0.1111111111111111,0.7916666666666666
Baseline,Logistic Regression (Default),0.1111111111111111,0.9166666666666666
Baseline,Logistic Regression (Default),0.1388888888888889,0.9166666666666666
Baseline,Logistic Regression (Default),0.1388888888888889,0.9583333333333334
Baseline,Logistic Regression (Default),0.5,0.9583333333333334
Baseline,Logistic Regression (Default),0.5,1.0
Baseline,Logistic Regression (Default),1.0,1.0
Baseline,Decision Tree (Default),0.0,0.0
Baseline,Decision Tree (Default),0.25,0.9166666666666666
Baseline,Decision Tree (Default),1.0,1.0
Baseline,Random Forest (Default),0.0,0.0
Baseline,Random Forest (Default),0.0,0.08333333333333333
Baseline,Random Forest (Default),0.0,0.16666666666666666
Baseline,Random Forest (Default),0.0,0.25
Baseline,Random Forest (Default),0.0,0.3333333333333333
Baseline,Random Forest (Default),0.0,0.4166666666666667
Baseline,Random Forest (Default),0.0,0.5
Baseline,Random Forest (Default),0.027777777777777776,0.5416666666666666
Baseline,Random Forest (Default),0.027777777777777776,0.625
Baseline,Random Forest (Default),0.05555555555555555,0.625
Baseline,Random Forest (Default),0.05555555555555555,0.7916666666666666
Baseline,Random Forest (Default),0.08333333333333333,0.8333333333333334
Baseline,Random Forest (Default),0.08333333333333333,0.875
Baseline,Random Forest (Default),0.16666666666666666,0.875
Baseline,Random Forest (Default),0.16666666666666666,0.9583333333333334
Baseline,Random Forest (Default),0.25,0.9583333333333334
Baseline,Random Forest (Default),0.25,1.0
Baseline,Random Forest (Default),0.4166666666666667,1.0
Baseline,Random Forest (Default),0.4722222222222222,1.0
Baseline,Random Forest (Default),0.5555555555555556,1.0
Baseline,Random Forest (Default),0.6111111111111112,1.0
Baseline,Random Forest (Default),0.6666666666666666,1.0
Baseline,Random Forest (Default),0.8333333333333334,1.0
Baseline,Random Forest (Default),0.9166666666666666,1.0
Baseline,Random Forest (Default),0.9722222222222222,1.0
Baseline,Random Forest (Default),1.0,1.0
Baseline,K-Nearest Neighbors (Default),0.0,0.0
Baseline,K-Nearest Neighbors (Default),0.0,0.375
Baseline,K-Nearest Neighbors (Default),0.05555555555555555,0.7083333333333334
Baseline,K-Nearest Neighbors (Default),0.1111111111111111,0.875
Baseline,K-Nearest Neighbors (Default),0.16666666666666666,0.9166666666666666
Baseline,K-Nearest Neighbors (Default),0.4444444444444444,1.0
Baseline,K-Nearest Neighbors (Default),1.0,1.0
Baseline,Support Vector Machine (Default),0.0,0.0
Baseline,Support Vector Machine (Default),0.0,0.041666666666666664
Baseline,Support Vector Machine (Default),0.0,0.6666666666666666
Baseline,Support Vector Machine (Default),0.027777777777777776,0.6666666666666666
Baseline,Support Vector Machine (Default),0.027777777777777776,0.7916666666666666
Baseline,Support Vector Machine (Default),0.08333333333333333,0.7916666666666666
Baseline,Support Vector Machine (Default),0.08333333333333333,0.875
Baseline,Support Vector Machine (Default),0.1111111111111111,0.875
Baseline,Support Vector Machine (Default),0.1111111111111111,0.9583333333333334
Baseline,Support Vector Machine (Default),0.5833333333333334,0.9583333333333334
Baseline,Support Vector Machine (Default),0.5833333333333334,1.0
Baseline,Support Vector Machine (Default),1.0,1.0
Baseline,AdaBoost (Default),0.0,0.0
Baseline,AdaBoost (Default),0.0,0.041666666666666664
Baseline,AdaBoost (Default),0.0,0.08333333333333333
Baseline,AdaBoost (Default),0.027777777777777776,0.08333333333333333
Baseline,AdaBoost (Default),0.027777777777777776,0.4166666666666667
Baseline,AdaBoost (Default),0.08333333333333333,0.4166666666666667
Baseline,AdaBoost (Default),0.08333333333333333,0.5
Baseline,AdaBoost (Default),0.1111111111111111,0.5
Baseline,AdaBoost (Default),0.1111111111111111,0.7083333333333334
Baseline,AdaBoost (Default),0.1388888888888889,0.7083333333333334
Baseline,AdaBoost (Default),0.1388888888888889,0.9166666666666666
Baseline,AdaBoost (Default),0.19444444444444445,0.9166666666666666
Baseline,AdaBoost (Default),0.19444444444444445,0.9583333333333334
Baseline,AdaBoost (Default),0.3611111111111111,0.9583333333333334
Baseline,AdaBoost (Default),0.3611111111111111,1.0
Baseline,AdaBoost (Default),0.8888888888888888,1.0
Baseline,AdaBoost (Default),0.9444444444444444,1.0
Baseline,AdaBoost (Default),1.0,1.0
Baseline,Gradient Boosting (Default),0.0,0.0
Baseline,Gradient Boosting (Default),0.0,0.041666666666666664
Baseline,Gradient Boosting (Default),0.0,0.375
Baseline,Gradient Boosting (Default),0.027777777777777776,0.375
Baseline,Gradient Boosting (Default),0.027777777777777776,0.5416666666666666
Baseline,Gradient Boosting (Default),0.05555555555555555,0.5416666666666666
Baseline,Gradient Boosting (Default),0.05555555555555555,0.5833333333333334
Baseline,Gradient Boosting (Default),0.08333333333333333,0.5833333333333334
Baseline,Gradient Boosting (Default),0.08333333333333333,0.7083333333333334
Baseline,Gradient Boosting (Default),0.1111111111111111,0.7083333333333334
Baseline,Gradient Boosting (Default),0.1111111111111111,0.7916666666666666
Baseline,Gradient Boosting (Default),0.16666666666666666,0.7916666666666666
Baseline,Gradient Boosting (Default),0.16666666666666666,0.8333333333333334
Baseline,Gradient Boosting (Default),0.25,0.8333333333333334
Baseline,Gradient Boosting (Default),0.25,0.875
Baseline,Gradient Boosting (Default),0.3333333333333333,0.875
Baseline,Gradient Boosting (Default),0.3333333333333333,0.9583333333333334
Baseline,Gradient Boosting (Default),0.5555555555555556,0.9583333333333334
Baseline,Gradient Boosting (Default),0.5555555555555556,1.0
Baseline,Gradient Boosting (Default),1.0,1.0
Baseline,Stacking + Linear Regression,0.0,0.0
Baseline,Stacking + Linear Regression,0.0,0.041666666666666664
Baseline,Stacking + Linear Regression,0.0,0.7083333333333334
Baseline,Stacking + Linear Regression,0.027777777777777776,0.7083333333333334
Baseline,Stacking + Linear Regression,0.027777777777777776,0.75
Baseline,Stacking + Linear Regression,0.05555555555555555,0.75
Baseline,Stacking + Linear Regression,0.05555555555555555,0.8333333333333334
Baseline,Stacking + Linear Regression,0.08333333333333333,0.8333333333333334
Baseline,Stacking + Linear Regression,0.08333333333333333,0.875
Baseline,Stacking + Linear Regression,0.1388888888888889,0.875
Baseline,Stacking + Linear Regression,0.1388888888888889,0.9166666666666666
Baseline,Stacking + Linear Regression,0.19444444444444445,0.9166666666666666
Baseline,Stacking + Linear Regression,0.19444444444444445,0.9583333333333334
Baseline,Stacking + Linear Regression,0.3055555555555556,0.9583333333333334
Baseline,Stacking + Linear Regression,0.3055555555555556,1.0
Baseline,Stacking + Linear Regression,1.0,1.0
Baseline,Stacking + Default MLP,0.0,0.0
Baseline,Stacking + Default MLP,0.0,0.041666666666666664
Baseline,Stacking + Default MLP,0.0,0.7083333333333334
Baseline,Stacking + Default MLP,0.05555555555555555,0.7083333333333334
Baseline,Stacking + Default MLP,0.05555555555555555,0.875
Baseline,Stacking + Default MLP,0.1111111111111111,0.875
Baseline,Stacking + Default MLP,0.1111111111111111,0.9166666666666666
Baseline,Stacking + Default MLP,0.19444444444444445,0.9166666666666666
Baseline,Stacking + Default MLP,0.19444444444444445,0.9583333333333334
Baseline,Stacking + Default MLP,0.4166666666666667,0.9583333333333334
Baseline,Stacking + Default MLP,0.4166666666666667,1.0
Baseline,Stacking + Default MLP,1.0,1.0
TPE,Logistic Regression,0.0,0.0
TPE,Logistic Regression,0.0,0.041666666666666664
TPE,Logistic Regression,0.0,0.6666666666666666
TPE,Logistic Regression,0.027777777777777776,0.6666666666666666
