Feature,Importance Mean,Importance Std
slope_2,0.05833333333333335,0.02097176232019652
thal_3.0,0.04555555555555556,0.024317854031376974
ca_0.0,0.04166666666666668,0.02006932429798715
thal_7.0,0.04055555555555556,0.020495407495218575
cp_4,0.03666666666666669,0.02449489742783177
slope_1,0.03666666666666669,0.01845916413981794
sex,0.03055555555555558,0.025849755831404083
exang,0.022777777777777796,0.015204369092671111
trestbps,0.022222222222222254,0.007856742013183834
age,0.021111111111111146,0.0073702773119008625
ca_2.0,0.01722222222222226,0.00803157349711164
cp_1,0.01500000000000004,0.007876359377087687
restecg_2,0.012777777777777817,0.0070492097446942
cp_2,0.009444444444444462,0.011124991330278224
chol,0.006666666666666687,0.008164965809277286
ca_1.0,0.006111111111111145,0.015801625170364323
cp_3,0.005000000000000023,0.013017082793177755
thalach,0.0033333333333333435,0.006666666666666688
fbs,0.0016666666666666794,0.007876359377087689
slope_3,0.0011111111111111146,0.0041573970964155025
ca_3.0,0.0011111111111111146,0.004157397096415503
thal_6.0,0.0011111111111111146,0.004157397096415503
restecg_1,0.0,0.0
restecg_0,0.0,0.0
oldpeak,-0.0005555555555555203,0.017993483045224048
